,Tense : ['Pres'],Mood : ['Imp'],ratio_stem,POS : NOUN,Person : [],POS : AUX,nb_phrase,POS : SPACE,Tense : ['Fut'],sect 4,POS : PROPN,sect 1,POS : DET,Number : [],n_stop,Mood : ['Ind'],POS : VERB,mean_par,POS : PRON,Person : ['3'],Mood : ['Cnd'],VerbForm : ['Inf'],POS : X,Person : ['1'],Tense : [],n_par,Mood : [],ratio_stop,POS : ADP,Gender : [],lg_phrase,n_stem,POS : SCONJ,Gender : ['Fem'],n_pos,POS : PUNCT,Tense : ['Past'],sect 5,Voice : [],Person : ['2'],sect 0,POS : INTJ,Gender : ['Masc'],nb_mot,Mood : ['Sub'],POS : CCONJ,VerbForm : ['Part'],Tense : ['Imp'],sect 6,n_paragraphe,n_tok,ratio_tok,Number : ['Sing'],sect 2,punct,sect 3,POS : ADJ,Number : ['Plur'],POS : ADV,POS : SYM,POS : NUM,Voice : ['Pass'],VerbForm : ['Fin'],lab_y
thé,415,0,0.0026135249918327343,0.2605357726233257,696,0.02466514211042143,403,0.0003266906239790918,14,0,0.018458020254818686,0,0.017314603070891867,248,4276,374,0.17706631819666777,0.04297796444393303,0.01715125775890232,375,4,155,0.03495589676576282,13,156,96,696,0.41135161135161136,0.04099967330937602,630,163.28287841191067,2534,0.003430251551780464,165,16,0.003266906239790918,472,0,1034,0,0,0.0,289,10395,10,0.003430251551780464,541,27,0,38,2843,0.2734968734968735,544,0,9.657568238213399,0,0.26772296635086573,292,0.09425024501796798,0.0001633453119895459,0.03626265926167919,50,388,2
vin,466,1,0.0021207408454686836,0.29450021207408456,797,0.021631556623780576,554,0.00042414816909373674,8,0,0.018096988547999435,0,0.022338470238936804,297,4936,421,0.17630425561996324,0.23630211744160665,0.016400395871624486,437,16,206,0.008200197935812243,10,206,181,797,0.41129905841179903,0.0335077053584052,739,137.20938628158845,2991,0.0024035062915311748,208,15,0.009189876997030963,528,0,1199,3,0,0.0,300,12001,12,0.002969037183656157,591,39,0,33,3392,0.2826431130739105,672,0,8.38086642599278,0,0.2896931994910222,278,0.07366039869927894,0.0,0.03068005089778029,48,450,2
langage,62,0,0.01616915422885572,0.30223880597014924,84,0.02736318407960199,57,0.0,1,0,0.009950248756218905,0,0.028606965174129355,47,511,51,0.1691542288557214,0.1152812241521919,0.021144278606965175,50,0,28,0.02736318407960199,2,28,18,84,0.3885931558935361,0.029850746268656716,96,148.03508771929825,484,0.0,12,13,0.008706467661691543,43,0,132,0,0,0.0,28,1315,1,0.0037313432835820895,56,2,0,12,566,0.43041825095057035,70,0,7.315789473684211,0,0.27114427860696516,19,0.09079601990049752,0.0,0.009950248756218905,4,52,2
nom personnel,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,2
alphabet,42,0,0.015690376569037656,0.2405857740585774,82,0.021966527196652718,41,0.0020920502092050207,3,0,0.051255230125523014,0,0.021966527196652718,27,457,52,0.1401673640167364,0.12060078208318521,0.01882845188284519,51,0,18,0.02301255230125523,1,19,34,81,0.3362766740250184,0.04079497907949791,79,239.5121951219512,541,0.0010460251046025104,20,15,0.009414225941422594,58,0,126,0,0,0.0,35,1359,1,0.0020920502092050207,63,12,0,5,615,0.45253863134657835,80,0,19.536585365853657,0,0.3158995815899582,27,0.09205020920502092,0.0,0.01882845188284519,8,53,2
lettre,6,0,0.11688311688311688,0.4155844155844156,11,0.0,9,0.0,0,0,0.012987012987012988,0,0.025974025974025976,8,38,5,0.2077922077922078,0.007425742574257425,0.025974025974025976,5,0,6,0.012987012987012988,0,6,1,11,0.33043478260869563,0.012987012987012988,13,86.44444444444444,64,0.0,2,9,0.0,3,0,16,0,0,0.0,1,115,0,0.0,5,1,0,0,80,0.6956521739130435,7,0,7.777777777777778,0,0.2077922077922078,1,0.07792207792207792,0.0,0.0,0,5,2
alphabet arabe,236,1,0.004651162790697674,0.2558139534883721,327,0.02724252491694352,202,0.0,3,0,0.008305647840531562,0,0.03222591362126246,135,1977,210,0.18039867109634553,0.19422066549912434,0.02159468438538206,210,4,95,0.009634551495016611,5,95,193,327,0.39651022864019253,0.03122923588039867,350,157.509900990099,1082,0.005980066445182724,89,14,0.02558139534883721,203,0,519,1,0,0.0,104,4986,1,0.005647840531561462,232,6,0,40,1282,0.25711993582029685,312,0,7.5594059405940595,0,0.2823920265780731,96,0.09136212624584718,0.0,0.022591362126245847,24,216,2
écritures brahmiques,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,2
caractères chinois,124,0,0.009025270758122744,0.2503008423586041,173,0.019855595667870037,102,0.0006016847172081829,2,0,0.007220216606498195,0,0.021660649819494584,57,1001,121,0.17749699157641396,0.07424107376920254,0.031287605294825514,117,1,40,0.006618531889290012,4,40,66,173,0.3771665410700829,0.03429602888086643,179,171.07843137254903,822,0.006618531889290012,33,15,0.03309265944645006,120,0,271,1,0,0.0,83,2654,0,0.0030084235860409147,133,9,0,11,959,0.3613413715146948,149,0,7.186274509803922,0,0.29783393501805056,89,0.0914560770156438,0.0,0.01865222623345367,24,122,2
alphabet cyrillique,54,0,0.015367727771679473,0.24368825466520308,109,0.01646542261251372,54,0.0,2,0,0.010976948408342482,0,0.026344676180021953,26,508,50,0.17453347969264543,0.0792149866190901,0.012074643249176729,48,0,15,0.003293084522502744,1,15,21,109,0.3579985905567301,0.03732162458836443,76,189.0185185185185,525,0.0010976948408342481,40,14,0.0010976948408342481,86,0,155,1,0,0.0,43,1419,0,0.005488474204171241,94,2,0,9,616,0.43410852713178294,101,0,13.907407407407407,0,0.34796926454445665,32,0.08342480790340286,0.0,0.036223929747530186,4,50,2
alphabet latin,83,0,0.009497964721845319,0.2530529172320217,164,0.027137042062415198,79,0.0,3,0,0.018995929443690638,0,0.037991858887381276,40,886,84,0.17164179104477612,0.15553763440860216,0.024423337856173677,83,4,26,0.018995929443690638,6,28,68,162,0.37558287409919455,0.044097693351424695,127,196.69620253164558,726,0.0006784260515603799,45,14,0.0101763907734057,129,0,232,0,0,0.0,81,2359,3,0.005427408412483039,136,10,0,6,858,0.36371343789741417,157,0,13.063291139240507,0,0.27408412483039346,56,0.09226594301221167,0.0,0.02103120759837178,21,91,2
alphabet grec,101,0,0.010355029585798817,0.2522189349112426,160,0.03772189349112426,119,0.0,3,0,0.015532544378698224,0,0.028106508875739646,36,754,97,0.1915680473372781,0.12371134020618557,0.027366863905325445,97,2,20,0.005917159763313609,2,20,56,160,0.35802469135802467,0.022928994082840236,135,118.4453781512605,617,0.0014792899408284023,37,14,0.02514792899408284,127,0,242,0,0,0.0,87,2106,0,0.0007396449704142012,140,8,0,16,714,0.33903133903133903,182,0,10.168067226890756,0,0.30177514792899407,41,0.0628698224852071,0.0,0.026627218934911243,17,99,2
grammaire,22,0,0.03051643192488263,0.2934272300469484,43,0.028169014084507043,31,0.0,0,0,0.009389671361502348,0,0.018779342723004695,17,264,20,0.14788732394366197,0.034666141422099665,0.011737089201877934,20,0,10,0.004694835680751174,0,10,6,43,0.3826086956521739,0.011737089201877934,37,155.58064516129033,287,0.0,10,13,0.004694835680751174,27,0,56,0,0,0.0,16,690,0,0.002347417840375587,33,4,0,5,346,0.5014492753623189,31,0,7.096774193548387,0,0.392018779342723,15,0.06572769953051644,0.0,0.009389671361502348,7,20,2
mot,44,0,0.026871401151631478,0.2648752399232246,65,0.028790786948176585,38,0.0,6,0,0.009596928982725527,0,0.030710172744721688,30,299,45,0.21305182341650672,0.10949488491048594,0.019193857965451054,46,1,23,0.011516314779270634,0,23,16,65,0.36507936507936506,0.028790786948176585,76,144.39473684210526,327,0.0019193857965451055,9,14,0.007677543186180422,36,0,102,0,0,0.0,26,819,0,0.003838771593090211,42,2,0,5,389,0.47496947496947495,61,0,11.421052631578947,0,0.2380038387715931,20,0.09213051823416507,0.0,0.04990403071017274,9,46,2
écriture,129,0,0.006440532417346501,0.279089738085015,285,0.030485186775440102,188,0.0017174753112924003,5,0,0.010734220695577501,0,0.021897810218978103,99,1595,119,0.1790468012022327,0.04516034127684613,0.013310433662516101,129,8,60,0.015027908973808502,3,60,40,285,0.40688775510204084,0.043366251610133105,226,136.31382978723406,1171,0.0030055817947617003,81,15,0.0030055817947617003,198,0,394,0,0,0.0,110,3920,5,0.0055817947617003,225,25,0,21,1359,0.3466836734693878,227,0,8.367021276595745,0,0.28681837698583085,91,0.0785744954916273,0.0,0.028338342636324603,23,132,2
angues spécifiques,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,2
arabe,84,0,0.006404391582799634,0.24382433668801465,193,0.021500457456541628,125,0.0,3,0,0.025617566331198535,0,0.02241537053979872,47,1244,81,0.12671546203110703,0.08143309735205538,0.016010978956999086,82,2,30,0.023787740164684355,2,30,70,193,0.36268221574344023,0.02333028362305581,130,185.408,1074,0.0022872827081427266,34,14,0.0192131747483989,154,0,251,0,0,0.0,113,3430,1,0.0036596523330283625,163,6,0,20,1209,0.35247813411078716,164,0,14.752,0,0.36596523330283626,66,0.08691674290942361,0.0,0.018755718206770355,26,84,2
bengali,113,0,0.009313154831199068,0.23050058207217694,186,0.013969732246798603,141,0.0005820721769499418,4,0,0.009313154831199068,0,0.02619324796274738,38,1065,106,0.1740395809080326,0.08748851380761233,0.011641443538998836,113,5,25,0.048894062863795114,0,25,75,186,0.3833693304535637,0.03841676367869616,150,131.6950354609929,789,0.0017462165308498253,56,16,0.008731082654249126,154,0,287,0,0,0.0,93,2778,2,0.0017462165308498253,161,3,0,10,933,0.33585313174946,182,0,9.02127659574468,0,0.31548311990686845,79,0.09545983701979045,0.0005820721769499418,0.02270081490104773,12,113,2
langues chinoises,58,0,0.015384615384615385,0.24835164835164836,104,0.014285714285714285,58,0.0,1,0,0.023076923076923078,0,0.01978021978021978,39,653,51,0.17252747252747253,0.09580838323353294,0.023076923076923078,53,1,24,0.005494505494505495,0,24,43,104,0.417786308381318,0.03076923076923077,92,180.27586206896552,540,0.002197802197802198,23,14,0.007692307692307693,68,0,154,0,0,0.0,42,1563,1,0.005494505494505495,80,6,0,9,623,0.39859245041586694,80,0,12.275862068965518,0,0.34835164835164834,38,0.08241758241758242,0.0,0.016483516483516484,3,53,2
anglais,145,0,0.005998286203941731,0.2609254498714653,236,0.024850042844901457,124,0.0,6,0,0.017566409597257925,0,0.030419880034275922,80,1395,128,0.16152527849185946,0.09056219791401679,0.027849185946872322,133,11,45,0.024850042844901457,7,45,122,236,0.37409493161705554,0.02570694087403599,219,199.20967741935485,1152,0.0021422450728363325,52,14,0.013710368466152529,165,0,365,1,0,0.0,106,3729,2,0.0038560411311053984,191,16,0,22,1318,0.3534459640654331,200,0,10.92741935483871,0,0.2879177377892031,97,0.09254498714652956,0.0,0.026135389888603255,12,141,2
français,372,0,0.0023915816326530613,0.25478316326530615,594,0.022799744897959183,357,0.00015943877551020407,14,0,0.02614795918367347,0,0.020567602040816327,247,3998,328,0.15162627551020408,0.13080745500300192,0.02264030612244898,348,18,161,0.010044642857142858,9,161,187,594,0.389440872783947,0.027104591836734693,593,188.83473389355743,2320,0.00350765306122449,127,15,0.01610331632653061,375,0,891,0,0,0.0,231,10266,11,0.003826530612244898,433,29,0,35,2694,0.2624196376388077,482,0,10.549019607843137,0,0.3046875,222,0.09119897959183673,0.0,0.044802295918367346,60,357,2
allemand,160,1,0.006095083299471759,0.23445753758634702,260,0.026818366517675742,134,0.0,5,0,0.01828524989841528,0,0.02478667208451849,88,1417,161,0.17431938236489233,0.1532979576726106,0.019910605444941082,164,4,62,0.008939455505891914,3,62,174,260,0.3653945332645694,0.035757822023567656,254,202.38059701492537,1208,0.003250711093051605,46,15,0.02478667208451849,186,0,410,2,0,0.0004063388866314506,129,3878,3,0.0036570499796830555,198,16,0,26,1369,0.353017019082001,259,0,16.723880597014926,0,0.3185696871190573,82,0.08736286062576189,0.0,0.018691588785046728,19,169,2
grec,13,0,0.03513513513513514,0.22432432432432434,38,0.02702702702702703,23,0.0,0,0,0.013513513513513514,0,0.032432432432432434,9,242,16,0.14594594594594595,0.14557623928048524,0.02972972972972973,16,0,8,0.010810810810810811,0,8,15,38,0.3954248366013072,0.02702702702702703,25,174.82608695652175,245,0.0,9,13,0.016216216216216217,30,0,52,0,0,0.0,20,612,0,0.008108108108108109,30,3,0,5,289,0.4722222222222222,34,0,15.73913043478261,0,0.34054054054054056,11,0.0918918918918919,0.0,0.032432432432432434,2,16,2
hindoustani,3,0,0.1956521739130435,0.13043478260869565,2,0.021739130434782608,5,0.0,0,0,0.043478260869565216,0,0.021739130434782608,0,21,3,0.10869565217391304,0.20317002881844382,0.021739130434782608,3,0,0,0.0,0,0,1,2,0.31343283582089554,0.0,3,104.4,32,0.0,0,9,0.0,2,0,4,0,0,0.0,2,67,0,0.0,2,0,0,3,43,0.6417910447761194,4,0,13.2,0,0.5434782608695652,1,0.08695652173913043,0.0,0.021739130434782608,1,3,2
japonais,76,0,0.011618900077459334,0.25639039504260264,166,0.020139426800929512,97,0.000774593338497289,1,0,0.017815646785437646,0,0.018590240123934933,63,860,66,0.1812548412083656,0.1076380442714668,0.019364833462432222,68,1,50,0.010844306738962044,0,50,68,166,0.4,0.032532920216886134,130,149.18556701030928,695,0.003098373353989156,34,15,0.006196746707978312,106,0,218,0,0,0.0,70,2150,1,0.004647560030983733,116,1,0,9,790,0.3674418604651163,121,0,8.350515463917526,0,0.2997676219984508,50,0.104570100697134,0.0,0.024012393493415957,16,68,2
