,n_pos,Tense : ['Imp'],Mood : ['Cnd'],Number : ['Plur'],Number : ['Sing'],n_stem,nb_mot,ratio_stop,sect 4,Gender : ['Masc'],Mood : ['Imp'],sect 6,sect 5,ratio_tok,sect 0,lg_phrase,n_tok,VerbForm : ['Part'],Mood : [],Tense : [],Voice : ['Pass'],Number : [],Tense : ['Fut'],Mood : ['Sub'],Person : [],sect 3,n_stop,mean_par,Voice : [],nb_phrase,ratio_stem,sect 2,Gender : ['Fem'],punct,VerbForm : ['Inf'],VerbForm : ['Fin'],Person : ['3'],Person : ['2'],n_par,Tense : ['Pres'],Mood : ['Ind'],Person : ['1'],sect 1,Tense : ['Past'],Gender : []
Abolition de l'esclavage,15,67,13,236,708,2949,12241,0.3923699044195736,0,331,2,0,0,0.27293521771097135,0,184.82903981264636,3341,612,847,235,60,332,16,5,847,0,4803,0.027471386517155874,1216,427,0.0020142339196992077,0,199,5.17096018735363,235,429,413,2,79,398,409,14,0,560,746
Abraham,14,11,3,64,373,1516,5190,0.37726396917148364,0,138,0,0,0,0.3283236994219653,0,133.991452991453,1704,248,338,92,13,141,17,7,340,0,1958,0.058205767176931295,565,234,0.004331683168316832,0,69,4.243589743589744,90,240,234,0,76,244,230,4,0,214,371
Abraham Lincoln,15,23,0,76,305,1550,5180,0.40598455598455596,0,124,0,0,0,0.33455598455598456,0,126.54435483870968,1733,235,327,92,13,147,10,2,327,0,2103,0.018807424307825123,515,248,0.004868549172346641,0,61,3.2903225806451615,92,201,197,0,26,203,199,4,0,200,343
Accident vasculaire cérébral,15,3,2,57,168,953,2984,0.37634048257372654,0,63,3,0,0,0.3703083109919571,0,127.67515923566879,1105,140,191,51,19,83,2,2,191,0,1123,0.134577770218556,289,157,0.008047210300429184,0,46,3.554140127388535,51,117,112,3,80,136,110,2,0,116,199
Achéménides,14,45,8,419,695,2843,12947,0.40318220437166913,0,379,0,0,0,0.25727967869004403,0,159.13980582524272,3331,738,981,243,73,381,15,7,981,0,5220,0.08652358428009371,1422,515,0.0018115942028985507,0,238,4.168932038834951,243,514,502,0,126,551,499,12,0,641,878
Acide,14,5,2,52,146,724,2825,0.4021238938053097,0,59,0,0,0,0.2984070796460177,0,140.14166666666668,843,125,194,70,13,99,3,2,195,0,1136,0.08378088077336197,284,120,0.008288928359976317,0,38,4.125,69,103,100,0,59,121,99,2,0,98,200
Acide désoxyribonucléique,15,18,10,312,500,1817,9581,0.3816929339317399,0,311,0,0,0,0.22711616741467489,0,187.08849557522123,2176,608,753,145,54,250,3,8,753,0,3657,0.004989042756562689,1008,339,0.0025265285497726125,0,191,4.592920353982301,145,309,296,1,28,373,291,12,0,523,560
Acide ribonucléique,15,8,2,142,330,1305,5828,0.39447494852436515,0,153,2,0,0,0.25892244337680165,0,173.7,1509,294,399,105,20,145,3,3,399,0,2299,0.03165366575534877,597,220,0.004248088360237893,0,102,5.040909090909091,105,218,210,2,64,239,211,6,0,262,362
Acier,14,3,1,86,230,1066,4211,0.40821657563524105,0,104,0,0,0,0.2828306815483258,0,157.64779874213838,1191,190,268,78,22,122,4,12,268,0,1719,0.12674942402255768,416,159,0.0056179775280898875,0,46,3.8742138364779874,78,170,167,0,120,197,157,3,0,156,288
Activité physique,14,9,5,37,112,694,2170,0.3861751152073733,0,39,0,0,0,0.36774193548387096,0,149.6595744680851,798,88,119,31,12,49,2,6,119,0,838,0.07381416504223522,186,94,0.010510510510510511,0,33,3.7872340425531914,31,79,78,0,29,82,68,1,0,74,126
Actualité,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,34.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
Addiction,15,7,2,74,208,1198,3747,0.3947157726180945,0,83,0,0,0,0.362423271950894,0,155.62962962962962,1358,177,262,86,15,124,3,4,263,0,1479,0.08176779673216727,391,162,0.006610841780520053,0,59,4.265432098765432,85,144,140,0,55,162,138,3,0,148,264
Addition,15,1,3,81,160,673,2994,0.39579158316633267,0,74,0,0,0,0.28122912491649965,0,142.0441176470588,842,153,217,64,16,93,2,3,217,0,1185,0.02160463027641952,318,136,0.008278145695364239,0,52,4.125,64,117,112,0,14,136,111,5,0,131,208
Adi Shankara,14,5,1,21,104,667,1528,0.36910994764397903,0,55,0,0,0,0.4816753926701571,0,132.48648648648648,736,76,110,34,1,43,3,2,110,0,564,0.06341600901916573,167,74,0.014522821576763486,0,11,5.081081081081081,34,58,55,1,45,54,55,2,0,72,102
Adolf Hitler,15,137,20,836,2555,6727,41985,0.41124211027748003,0,1284,1,0,0,0.1906395141121829,0,181.69540636042402,8004,2300,3548,1249,201,1664,75,30,3549,0,17266,0.028142455482661668,4854,1415,0.0006065016982047549,0,646,4.868551236749116,1248,1507,1475,3,215,1517,1456,28,0,2077,3125
Adoration,13,0,0,11,31,225,537,0.4245810055865922,0,11,0,0,0,0.5195530726256983,0,131.68,279,26,46,20,6,24,0,1,46,0,228,0.06881243063263041,60,25,0.042071197411003236,0,12,4.68,20,20,20,0,9,22,19,0,0,24,43
Adulte,12,0,0,13,52,323,689,0.37300435413642963,0,15,0,0,0,0.5428156748911466,0,171.34615384615384,374,34,57,23,8,29,0,0,57,0,257,0.08729838709677419,86,26,0.027777777777777776,0,13,6.5,23,37,37,0,16,43,37,0,0,28,66
Afrique,16,42,16,525,949,4083,19988,0.39783870322193315,0,382,2,0,0,0.23984390634380628,0,186.76108726752503,4794,872,1100,228,68,377,14,13,1100,0,7952,0.1393051726615885,1783,699,0.0013269198872118096,0,353,5.7439198855507865,228,751,735,4,233,807,720,12,0,760,1116
Afrique du Sud,15,20,7,210,421,2485,9175,0.3864850136239782,0,225,0,0,0,0.3053950953678474,0,161.35082872928177,2802,415,544,129,31,189,7,7,544,0,3546,0.05182760501909438,789,362,0.002663825253063399,0,135,4.964088397790055,129,276,271,0,123,292,262,5,0,372,460
Agnosticisme,15,5,12,85,222,1108,3834,0.3930620761606677,0,74,0,0,0,0.33098591549295775,0,175.09722222222223,1269,182,263,82,31,120,10,2,264,0,1507,0.05582947173308619,396,144,0.006440532417346501,0,72,5.583333333333333,81,164,160,1,56,181,150,2,0,149,281
Agriculture,15,6,6,165,232,1599,5668,0.3987297106563162,0,141,0,0,0,0.31951305575158784,0,164.10222222222222,1811,282,351,69,15,122,7,4,351,0,2260,0.0905726529022205,504,225,0.004396248534583822,0,100,4.471111111111111,69,168,159,0,99,190,158,9,0,247,278
Aide humanitaire,13,1,0,16,48,397,866,0.3695150115473441,0,23,0,0,0,0.5300230946882217,0,173.6969696969697,459,48,69,21,4,30,1,0,69,0,320,0.04707233065442021,90,33,0.023809523809523808,0,17,4.696969696969697,21,25,25,0,9,29,25,0,0,42,54
Aire (géométrie),14,10,1,45,206,702,2815,0.3900532859680284,0,62,0,0,0,0.29094138543516873,0,145.29508196721312,819,135,185,50,19,74,1,3,185,0,1098,0.03860942005767382,306,122,0.008149010477299184,0,49,4.270491803278689,50,140,135,0,40,150,136,5,0,114,214
Al-Khwârizmî,14,3,0,18,94,468,1244,0.40434083601286175,0,49,0,0,0,0.44212218649517687,0,121.82089552238806,550,77,90,13,5,21,1,0,90,0,503,0.025129168623767028,128,67,0.018893387314439947,0,22,4.373134328358209,13,43,43,0,15,44,43,0,0,72,62
Alan Turing,15,10,0,86,284,1552,4534,0.38376709307454787,0,135,0,0,0,0.38376709307454787,0,148.19289340101523,1740,257,396,139,16,194,8,4,396,0,1740,0.03631084431684719,548,197,0.00536480686695279,0,76,4.380710659898477,139,168,167,0,39,189,164,1,0,218,353
Albert Einstein,15,24,3,92,450,1984,7017,0.4043038335470999,0,173,0,0,0,0.3169445632036483,0,145.48453608247422,2224,327,450,123,32,179,19,2,450,0,2837,0.042898317581607344,689,291,0.0035790980672870437,0,106,3.8694158075601375,123,271,269,0,48,262,266,2,0,293,442
Alcoolisme,15,8,0,83,255,1462,4608,0.3802083333333333,0,98,0,0,0,0.3576388888888889,0,153.010101010101,1648,204,256,52,19,81,2,3,256,0,1752,0.2789443947455153,400,198,0.005244755244755245,0,81,4.843434343434343,52,163,161,0,92,174,160,2,0,183,240
Alexandre le Grand,16,50,21,500,2043,5286,29436,0.39074602527517327,0,943,1,0,0,0.201759749966028,0,150.27108927108927,5939,1730,2669,941,138,1269,44,28,2670,0,11502,0.01579462206675102,3674,1221,0.0008921103986618344,0,506,4.4946764946764945,939,1143,1118,2,200,1287,1093,22,0,1490,2363
Algorithme,14,5,3,38,69,515,1160,0.39741379310344827,0,37,0,0,0,0.5086206896551724,0,174.57777777777778,590,66,89,23,9,31,0,0,89,0,461,0.07729861676159479,129,45,0.020028612303290415,0,21,4.622222222222222,23,49,48,0,17,51,46,1,0,59,80
Algue,13,8,3,173,198,1490,4856,0.3935337726523888,0,113,0,0,0,0.35028830313014825,0,158.3399014778325,1701,259,345,86,21,142,6,2,345,0,1911,0.06800985899346555,492,203,0.004411265693926026,0,100,3.8029556650246303,86,168,167,0,75,190,163,1,0,223,300
Algèbre,14,6,1,45,106,581,1495,0.3658862876254181,0,41,0,0,0,0.45217391304347826,0,157.3125,676,84,116,32,8,44,4,2,116,0,547,0.07389922832501135,187,64,0.014767932489451477,0,32,4.453125,32,79,75,0,21,79,76,4,0,74,122
Algèbre linéaire,13,1,0,46,90,491,1527,0.36738703339882123,0,41,0,0,0,0.38703339882121807,0,144.88732394366198,591,80,101,21,11,35,1,1,101,0,561,0.013908600624467783,160,71,0.013457556935817806,0,24,3.4225352112676055,21,70,69,1,9,82,69,0,0,66,106
Ali ibn Abi Talib,14,4,1,24,95,463,1205,0.4008298755186722,0,54,0,0,0,0.44232365145228214,0,147.81632653061226,533,92,112,20,7,39,2,6,112,0,483,0.04946541285585469,151,49,0.019363762102351315,0,23,4.285714285714286,20,46,45,0,16,48,39,1,0,84,81
Allemagne,15,22,3,227,655,2900,11415,0.3894875164257556,0,300,0,0,0,0.2859395532194481,0,149.98985801217037,3264,574,792,219,43,303,15,9,793,0,4446,0.07070543754042087,1142,493,0.002152080344332855,0,201,4.574036511156186,218,393,388,0,174,399,381,4,0,530,684
Allemand,15,16,4,82,259,1210,3884,0.3650875386199794,0,129,1,0,0,0.35298661174047374,0,202.8359375,1371,199,261,62,19,88,5,3,261,0,1418,0.15498890639570403,410,128,0.006082725060827251,0,47,8.109375,62,168,163,2,172,159,160,3,0,187,253
Allergie,14,17,5,134,129,985,3117,0.383060635226179,0,95,1,0,0,0.3606031440487648,0,172.3,1124,160,217,57,27,77,2,4,217,0,1194,0.10929846232482855,313,120,0.007265179034769071,0,45,4.45,57,123,117,1,57,121,113,5,0,143,200
Alliage,14,1,1,42,88,474,1526,0.3669724770642202,0,42,0,0,0,0.354521625163827,0,176.1578947368421,541,72,87,15,5,27,1,1,87,0,560,0.06415929203539823,152,57,0.014492753623188406,0,18,5.491228070175438,15,70,70,0,32,79,68,0,0,61,97
Alpes,14,4,4,44,102,764,1964,0.3884928716904277,0,51,0,0,0,0.43431771894093685,0,170.83783783783784,853,93,119,26,10,43,3,1,119,0,763,0.0642148277875073,179,74,0.011637572734829594,0,27,5.1891891891891895,26,70,68,0,42,75,65,2,0,81,111
Alphabet,15,12,0,27,80,541,1358,0.33652430044182624,0,35,0,0,0,0.4521354933726068,0,238.76923076923077,614,61,79,19,8,26,3,1,80,0,457,0.11682199002165114,125,39,0.015706806282722512,0,19,7.102564102564102,18,54,52,0,33,42,53,1,0,57,79
Alphabet arabe,14,6,4,96,312,1082,4984,0.396669341894061,0,103,1,0,0,0.257223113964687,0,157.11,1282,231,326,95,24,135,3,1,326,0,1977,0.19355983772819474,519,200,0.004654255319148936,0,89,5.64,95,217,211,1,192,237,211,5,0,202,351
Alphabet cyrillique,14,2,0,32,101,525,1419,0.3579985905567301,0,43,0,0,0,0.43410852713178294,0,191.52941176470588,616,94,109,15,4,26,2,0,109,0,508,0.07958993476234856,155,51,0.015367727771679473,0,40,5.980392156862745,15,50,48,1,21,54,50,1,0,86,76
Alphabet grec,14,8,2,41,182,617,2105,0.35819477434679337,0,87,0,0,0,0.33919239904988124,0,114.5042735042735,714,140,160,20,17,36,3,0,160,0,754,0.11947901218647237,242,117,0.010362694300518135,0,37,4.316239316239316,20,99,97,0,56,101,97,2,0,127,135
Alphabet latin,14,10,4,56,157,725,2366,0.37489433643279796,0,79,0,0,0,0.3622147083685545,0,193.62820512820514,857,134,160,28,21,40,3,3,162,0,887,0.15256118541539487,232,78,0.00945945945945946,0,45,7.0,26,93,85,0,67,85,86,6,0,127,129
Aluminium,15,9,5,98,268,1682,5613,0.40032068412613575,0,147,1,0,0,0.3399251737039017,0,167.4218009478673,1908,273,364,91,15,152,2,2,365,0,2247,0.2719861408335881,503,211,0.004455004455004455,0,71,4.4739336492890995,91,154,151,0,172,191,146,2,0,225,300
Alunissage,13,0,0,8,51,275,805,0.3739130434782609,0,21,0,0,0,0.40993788819875776,0,126.84210526315789,330,40,80,40,2,45,2,0,80,0,301,0.05554484088717454,102,38,0.025793650793650792,0,17,4.2631578947368425,40,24,24,0,7,24,24,0,0,38,66
Amazone (fleuve),14,8,2,90,267,1261,4863,0.4129138391939132,0,102,1,0,0,0.29816985399958873,0,146.39267015706807,1450,227,285,58,15,107,12,4,285,0,2008,0.03505063247979815,449,191,0.004901960784313725,0,79,3.654450261780105,58,179,172,1,43,197,172,6,0,189,283
Amour,15,17,5,108,366,1659,5651,0.37763227747301364,0,142,0,0,0,0.3323305609626615,0,149.09166666666667,1878,326,479,153,23,240,11,4,479,0,2134,0.06871702483592845,691,240,0.004261363636363636,0,102,5.5375,153,235,228,1,81,285,226,6,0,248,470
Amphibia,14,25,9,352,478,2261,10757,0.41675188249511946,0,217,0,0,0,0.23956493446128102,0,144.8993710691824,2577,518,703,185,49,297,17,9,703,0,4483,0.09193099320860763,1078,477,0.0022307202039515616,0,196,3.4150943396226414,185,424,417,0,68,473,406,7,0,427,714
Amérique du Nord,14,0,0,46,104,720,2081,0.36905333974050936,0,62,0,0,0,0.37962518020182606,0,164.8375,790,104,124,21,9,37,4,1,125,0,768,0.08401751505199781,178,80,0.0106544901065449,0,26,5.675,20,63,62,0,84,67,62,0,0,95,99
Amérique du Sud,14,8,1,81,175,996,3544,0.3902370203160271,0,88,1,0,0,0.3123589164785553,0,150.26,1107,158,174,16,8,29,8,3,174,0,1383,0.08922437894400512,277,150,0.006478482184173994,0,58,5.16,16,111,107,1,78,102,106,3,0,151,139
Amérique latine,15,12,2,107,243,1372,5267,0.37250806910955003,0,127,1,0,0,0.2904879438010253,0,163.10679611650485,1530,212,259,47,7,77,14,2,259,0,1962,0.08873390557939914,420,206,0.004535833081342607,0,58,5.543689320388349,47,168,164,1,127,161,163,3,0,193,242
Analyse (mathématiques),13,0,0,6,17,161,355,0.3464788732394366,0,11,0,0,0,0.5577464788732395,0,114.77272727272727,198,15,17,2,2,2,0,0,17,0,123,0.011162432640492687,23,22,0.05603448275862069,0,4,3.090909090909091,2,8,8,0,1,7,8,0,0,16,10
Anarchisme,15,16,7,151,432,2514,8166,0.34264021552779816,0,181,3,0,0,0.34153808474161157,0,129.45622119815667,2789,364,515,151,30,208,12,5,515,0,2798,0.057088565763384,761,434,0.0027906976744186047,0,126,5.516129032258065,151,276,271,3,101,286,261,2,0,326,484
Anatomie,10,0,0,6,16,176,377,0.35013262599469497,0,4,0,0,0,0.5411140583554377,0,166.11764705882354,204,9,13,4,0,4,0,0,13,0,132,0.07390599675850891,26,17,0.04081632653061224,0,5,4.647058823529412,4,13,13,0,7,11,13,0,0,11,17
