,n_pos,Tense : ['Imp'],Mood : ['Cnd'],Number : ['Plur'],Number : ['Sing'],n_stem,nb_mot,ratio_stop,sect 4,Gender : ['Masc'],Mood : ['Imp'],sect 6,sect 5,ratio_tok,sect 0,lg_phrase,n_tok,VerbForm : ['Part'],Mood : [],Tense : [],Voice : ['Pass'],Number : [],Tense : ['Fut'],Mood : ['Sub'],Person : [],sect 3,n_stop,mean_par,Voice : [],nb_phrase,ratio_stem,sect 2,Gender : ['Fem'],punct,VerbForm : ['Inf'],VerbForm : ['Fin'],Person : ['3'],Person : ['2'],n_par,Tense : ['Pres'],Mood : ['Ind'],Person : ['1'],sect 1,Tense : ['Past'],Gender : []
Sphère,13,0,0,12,62,293,902,0.42350332594235035,0,23,0,0,0,0.38470066518847007,0,121.2,347,44,58,14,5,19,1,1,58,0,382,0.08071157964091583,88,45,0.02495201535508637,0,15,3.933333333333333,14,35,35,0,18,39,34,0,0,39,55
Spiritualité,14,8,3,28,77,599,1573,0.3668150031786395,0,26,0,0,0,0.4380165289256198,0,207.19607843137254,689,67,86,19,8,28,0,0,86,0,577,0.08123225195766286,125,51,0.014056224899598393,0,31,6.784313725490196,19,47,47,0,24,47,44,0,0,59,76
Sport,14,12,5,159,318,1786,6315,0.384006334125099,0,149,0,0,0,0.32114014251781475,0,156.06513409961687,2028,288,417,130,29,179,15,7,418,0,2425,0.060076236561594124,627,261,0.0035989717223650387,0,94,4.363984674329502,129,239,231,1,73,246,227,6,0,253,413
Squelette,13,1,0,15,35,264,635,0.4,0,26,0,0,0,0.47244094488188976,0,116.10810810810811,300,34,48,14,1,20,0,0,48,0,254,0.001137915339098771,69,37,0.03412073490813648,0,2,3.135135135135135,14,22,22,0,1,26,22,0,0,29,42
Stanley Kubrick,15,26,6,80,442,2009,6945,0.383585313174946,0,170,1,0,0,0.3232541396688265,0,141.35197368421052,2245,305,475,171,23,222,22,6,475,0,2664,0.10171031975543254,721,304,0.003500583430571762,0,88,4.269736842105263,170,269,260,1,65,253,256,8,0,272,486
Station spatiale,14,0,1,34,31,352,870,0.35977011494252875,0,21,0,0,0,0.48735632183908045,0,141.57142857142858,424,44,63,19,7,25,2,0,63,0,313,0.2275172943889316,83,42,0.025134649910233394,0,20,3.5714285714285716,19,27,25,0,39,27,26,2,0,42,49
Station spatiale internationale,14,40,15,409,960,2767,15879,0.40329995591661943,0,474,2,0,0,0.20385414698658605,0,171.3204697986577,3237,962,1321,359,94,535,15,15,1321,0,6404,0.21093116789772293,1810,596,0.0014767932489451476,0,343,3.8691275167785233,359,583,571,2,201,653,551,10,0,837,1087
Statistique,15,5,3,84,130,803,2434,0.3853738701725555,0,44,0,0,0,0.38578471651602303,0,160.40952380952382,939,108,170,62,18,71,3,0,170,0,938,0.0640039556092737,267,105,0.010026737967914439,0,57,4.961904761904762,62,115,109,2,35,109,112,4,0,106,184
Stonehenge,15,11,6,153,336,1471,5436,0.37729948491537896,0,217,0,0,0,0.31806475349521707,0,185.24043715846994,1729,396,465,69,27,132,6,3,465,0,2051,0.035123269165822354,594,183,0.004420866489832007,0,122,5.5136612021857925,69,156,149,3,56,185,147,4,0,350,282
Structure interne de la Terre,14,4,2,77,189,1041,3503,0.39965743648301455,0,72,0,0,0,0.33228661147587785,0,143.9251700680272,1164,159,221,62,14,85,5,1,221,0,1400,0.058099824868651485,337,147,0.006591337099811676,0,68,3.272108843537415,62,130,128,0,81,137,127,2,0,143,211
Suicide,15,26,8,168,459,2295,8236,0.38902379796017483,0,222,0,0,0,0.32200097134531325,0,158.37920489296636,2652,398,578,181,41,246,6,8,579,0,3204,0.059185504126300685,832,327,0.0029803298231670973,0,123,4.256880733944954,180,295,287,0,137,302,279,7,0,358,528
Sumer,14,82,8,347,604,2415,11552,0.39387119113573404,0,352,2,0,0,0.24818213296398892,0,204.1510989010989,2867,683,884,201,47,344,19,7,884,0,4550,0.42373428670280244,1248,364,0.001999428734647244,0,204,5.068681318681318,201,411,396,4,166,414,394,11,0,579,739
