,Tense : ['Pres'],Mood : ['Imp'],ratio_stem,POS : NOUN,Person : [],POS : AUX,nb_phrase,POS : SPACE,Tense : ['Fut'],sect 4,POS : PROPN,sect 1,POS : DET,Number : [],n_stop,Mood : ['Ind'],POS : VERB,mean_par,POS : PRON,Person : ['3'],Mood : ['Cnd'],VerbForm : ['Inf'],POS : X,Person : ['1'],Tense : [],n_par,Mood : [],ratio_stop,POS : ADP,Gender : [],lg_phrase,n_stem,POS : SCONJ,Gender : ['Fem'],n_pos,POS : PUNCT,Tense : ['Past'],sect 5,Voice : [],Person : ['2'],sect 0,POS : INTJ,Gender : ['Masc'],nb_mot,Mood : ['Sub'],POS : CCONJ,VerbForm : ['Part'],Tense : ['Imp'],sect 6,n_paragraphe,n_tok,ratio_tok,Number : ['Sing'],sect 2,punct,sect 3,POS : ADJ,Number : ['Plur'],POS : ADV,POS : SYM,POS : NUM,Voice : ['Pass'],VerbForm : ['Fin'],lab_y
jeudecartes,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
échecs,568,1,0.0018200728029121164,0.3000520020800832,867,0.01950078003120125,510,0.0,12,0,0.01794071762870515,15,0.024440977639105563,367,4906,512,0.18252730109204368,0.06808167393031711,0.01781071242849714,524,13,261,0.014040561622464899,12,262,203,865,0.3896743447180302,0.03081123244929797,891,149.81372549019608,2758,0.005590223608944358,183,14,0.0046801872074883,529,0,1354,1,1,0.0,330,12590,13,0.0046801872074883,604,33,0,46,3169,0.2517077045274027,791,48,4.113725490196078,7,0.26326053042121683,246,0.0748829953198128,0.0,0.039781591263650544,50,539,0
jeudego,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
jeuvidéo,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
jeudehasard,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
activitéphysique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
sport,246,0,0.0035989717223650387,0.3,418,0.02082262210796915,261,0.0,15,0,0.02622107969151671,12,0.021593830334190232,179,2425,227,0.1686375321336761,0.060076236561594124,0.015167095115681234,231,5,129,0.006940874035989717,6,130,73,417,0.384006334125099,0.027506426735218508,413,156.06513409961687,1786,0.002827763496143959,94,14,0.011568123393316195,253,0,627,1,1,0.0,149,6315,7,0.003084832904884319,288,12,0,14,2028,0.32114014251781475,318,25,4.363984674329502,9,0.2820051413881748,159,0.08637532133676093,0.0,0.02724935732647815,29,239,0
football,673,0,0.0014246367176370025,0.2914806724285307,1118,0.014911197644600627,715,0.0006648304682306011,18,5,0.02706809763510305,8,0.026973121853927248,442,6654,592,0.1651628834647165,0.04524699775656534,0.014056415614018426,610,16,287,0.006363377338778612,11,288,287,1117,0.38740102468560783,0.03894007028207807,1045,150.28251748251748,3470,0.001709564061164403,262,15,0.01139709374109602,725,0,1667,0,1,0.0,432,17176,14,0.003894007028207807,830,35,0,35,4003,0.2330577550069865,844,25,3.788811188811189,28,0.25111596542881565,453,0.08842245227466997,0.0,0.057840250736062304,72,622,0
cricket,202,0,0.004560656734569778,0.27424749163879597,425,0.022803283672848892,252,0.0,9,2,0.03770142900577683,11,0.025539677713590756,140,2160,195,0.19093949528732138,0.027045689952813902,0.020370933414411676,197,5,113,0.01124961994527212,6,113,65,425,0.39640300972655534,0.036485253876558224,335,132.47222222222223,1299,0.007297050775311645,130,15,0.006993006993006993,300,0,603,0,1,0.0003040437823046519,163,5449,3,0.008513225904530252,312,4,0,23,1492,0.2738117085703799,351,29,3.7698412698412698,1,0.23350562480997264,137,0.07023411371237458,0.0,0.053815749467923384,25,203,0
jeuxolympiques,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
