,Tense : ['Pres'],Mood : ['Imp'],ratio_stem,POS : NOUN,Person : [],POS : AUX,nb_phrase,POS : SPACE,Tense : ['Fut'],sect 4,POS : PROPN,sect 1,POS : DET,Number : [],n_stop,Mood : ['Ind'],POS : VERB,mean_par,POS : PRON,Person : ['3'],Mood : ['Cnd'],VerbForm : ['Inf'],POS : X,Person : ['1'],Tense : [],n_par,Mood : [],ratio_stop,POS : ADP,Gender : [],lg_phrase,n_stem,POS : SCONJ,Gender : ['Fem'],n_pos,POS : PUNCT,Tense : ['Past'],sect 5,Voice : [],Person : ['2'],sect 0,POS : INTJ,Gender : ['Masc'],nb_mot,Mood : ['Sub'],POS : CCONJ,VerbForm : ['Part'],Tense : ['Imp'],sect 6,n_paragraphe,n_tok,ratio_tok,Number : ['Sing'],sect 2,punct,sect 3,POS : ADJ,Number : ['Plur'],POS : ADV,POS : SYM,POS : NUM,Voice : ['Pass'],VerbForm : ['Fin'],lab_y
viequotidienne,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
sexualitéhumaine,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0
sommeil,228,0,0.004474940334128878,0.29295942720763724,338,0.0220763723150358,242,0.0002983293556085919,0,0,0.009248210023866348,13,0.02386634844868735,134,2075,205,0.1685560859188544,0.06404217738050634,0.016706443914081145,224,10,96,0.008949880668257757,3,96,75,338,0.38241798746774786,0.04266109785202864,353,142.69421487603304,1496,0.0038782816229116944,83,15,0.008054892601431982,217,0,543,0,1,0.0,129,5426,12,0.0029832935560859188,242,24,0,18,1715,0.3160707703649097,300,25,3.8140495867768593,0,0.28072792362768495,131,0.08174224343675418,0.0,0.03729116945107398,22,227,0
rêve,334,1,0.002926829268292683,0.27219512195121953,506,0.018926829268292682,402,0.0003902439024390244,9,0,0.021853658536585364,14,0.019317073170731707,212,3066,309,0.16175609756097561,0.047099643799715776,0.021658536585365852,314,4,151,0.014048780487804878,8,151,131,506,0.3745876603543067,0.041170731707317075,528,126.79850746268657,2308,0.005853658536585366,106,15,0.012878048780487804,310,0,799,1,1,0.0,195,8185,9,0.001951219512195122,355,25,0,16,2632,0.3215638362858888,447,31,4.330845771144278,15,0.3038048780487805,170,0.07121951219512195,0.0,0.03297560975609756,30,323,0
préhistoire,91,1,0.009404388714733543,0.2476489028213166,173,0.026332288401253918,134,0.0006269592476489029,1,0,0.04075235109717868,11,0.01567398119122257,42,1057,84,0.16300940438871472,0.07925102276303367,0.015047021943573668,85,2,24,0.003761755485893417,1,24,48,173,0.3987174651075066,0.04012539184952978,127,129.21641791044777,860,0.0018808777429467085,61,15,0.00438871473354232,135,0,251,1,1,0.0,72,2651,0,0.006269592476489028,149,9,0,6,975,0.3677857412297246,158,18,4.097014925373134,5,0.32100313479623827,60,0.08401253918495298,0.0,0.02946708463949843,9,87,1
antiquité,1725,4,0.0006769564040075819,0.2784096037548515,2473,0.019315822727683004,1227,4.5130426933838797e-05,20,0,0.013268345518548606,10,0.022926256882390108,973,14235,1396,0.17727231699611878,0.07652154901478506,0.020850257243433524,1423,20,508,0.004287390558714685,28,508,592,2473,0.39115739723016046,0.03935373228630743,2393,191.3838630806846,5165,0.0029786081776333605,661,15,0.012636519541474862,1609,0,3757,4,1,0.0,874,36392,35,0.006859824893943497,1965,66,0,44,6057,0.16643767861068368,2020,43,5.361043194784026,10,0.2997111652676234,935,0.08827511508258869,0.0,0.01380991064175467,171,1455,1
âgedelapierre,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
mésopotamie,621,1,0.001682085786375105,0.28319115703472303,935,0.020785774360206656,425,0.0,10,0,0.0070887900997236575,19,0.023429052024510393,366,5466,503,0.175057070767752,0.25991713968813207,0.022708158116063918,506,11,189,0.00336417157275021,14,189,266,935,0.39643167972149695,0.031959629941127,870,211.84235294117647,2708,0.003844767511714526,257,14,0.009972365733509552,603,0,1385,2,1,0.0,330,13788,7,0.006488045176018263,746,34,0,45,3232,0.2344067304902814,682,60,5.444705882352941,3,0.304337378349153,409,0.09804157154872041,0.0,0.009732067764027394,72,522,1
révolutionnéolithique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
sumer,414,2,0.0019982871824150727,0.2691978304310591,885,0.019411932629174993,364,0.0,19,0,0.008564087924636025,10,0.026691407365115615,344,4553,395,0.1851270339708821,0.42362029208301305,0.027547816157579216,397,8,201,0.004567513559805881,11,201,166,885,0.393892205208063,0.03753925206965458,740,204.24725274725276,2417,0.0035683699685983444,204,14,0.014130745075649443,580,0,1250,4,1,0.0,353,11559,7,0.005566657151013417,684,83,0,55,2870,0.24829137468639156,606,34,5.071428571428571,49,0.29389095061375964,347,0.0954895803596917,0.0,0.00870682272337996,47,412,1
âgedubronze,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
égypteantique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
assyrie,1061,2,0.0009889799378355467,0.2712630686634643,1776,0.021474992935857588,833,0.0,13,0,0.00883017801638881,9,0.026773099745690872,751,9430,911,0.19249788075727606,0.028359734287174247,0.02479513987001978,930,16,451,0.005721955354619949,17,452,261,1775,0.39981344865598234,0.03291890364509748,1659,181.09003601440577,3760,0.003320146934162193,424,14,0.009748516530093246,1122,0,2603,2,1,0.0,642,23586,21,0.003390788358293303,1324,77,0,33,4517,0.19151191384719748,1311,37,4.793517406962785,37,0.2989545069228596,663,0.09020909861542808,0.0,0.010101723650748799,122,950,1
civilisationdelavalléedelindus,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
âgedufer,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
grèceantique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
romeantique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
achéménides,551,0,0.0018115942028985507,0.2686335403726708,981,0.020315734989648032,516,0.0,15,0,0.010093167701863354,7,0.023680124223602484,381,5220,499,0.19345238095238096,0.08651497905915374,0.018504140786749484,502,8,243,0.009963768115942028,12,243,126,981,0.40318220437166913,0.034161490683229816,878,158.84496124031008,2843,0.0038819875776397515,238,14,0.007893374741200828,641,0,1422,0,1,0.0,379,12947,7,0.0034937888198757765,738,45,0,17,3331,0.25727967869004403,695,25,4.162790697674419,3,0.2971014492753623,419,0.09446169772256728,0.0,0.01436335403726708,73,514,1
moyenâge,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
pestenoire,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
empirebyzantin,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
croisade,439,0,0.002311604253351826,0.2513484358144552,844,0.01633533672368624,522,0.0003082139004469102,20,3,0.030513176144244106,8,0.022653721682847898,362,4299,435,0.19941439358915086,0.015509034880861099,0.016181229773462782,447,4,277,0.01001695176452458,3,278,42,843,0.3985722232523642,0.04130066265988596,799,128.94444444444446,2773,0.0018492834026814608,167,15,0.010479272615194945,520,0,1248,0,1,0.0,328,10786,12,0.003852673755586377,566,37,0,18,3114,0.2887075839050621,588,22,3.6187739463601534,15,0.2806287563569117,344,0.09138542148250886,0.0,0.023732470334412083,46,451,1
séparationdeséglisesdorientetdoccident,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
saintempireromaingermanique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
âgedordelislam,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
empiremongol,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
empireottoman,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
âgedesvikings,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
renaissance,352,1,0.002616516762060507,0.27113654946852,664,0.020768601798855275,389,0.00016353229762878168,20,0,0.034178250204415374,11,0.01864268192968111,244,4001,372,0.1723630417007359,0.03766804206042859,0.01357318070318888,383,5,172,0.013736713000817661,6,173,145,663,0.39566851265822783,0.033524121013900246,625,165.62467866323908,2871,0.0022894521668029434,166,16,0.008013082583810302,456,0,1017,1,1,0.00016353229762878168,263,10112,13,0.0024529844644317253,491,53,0,29,3238,0.3202136075949367,602,37,5.097686375321337,0,0.30040883074407193,208,0.07440719542109567,0.0,0.034178250204415374,37,391,1
réformeprotestante,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
grandesdécouvertes,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
colonisationeuropéennedesamériques,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
révolutionscientifique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
siècledeslumières,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
révolutionindustrielle,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
révolutionfrançaise,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
guerresnapoléoniennes,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
abolitiondelesclavage,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
partagedelafrique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
empirebritannique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
empirerusse,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
uniondesrépubliquessocialistessoviétiques,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
droitdevotedesfemmes,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
premièreguerremondiale,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
grandedépression,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
secondeguerremondiale,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
shoah,890,1,0.0008798686062881277,0.26055842327545753,2250,0.022935241670577193,1051,0.0002932895354293759,61,0,0.019415767245424684,16,0.022817925856405442,916,11355,895,0.1864148287189113,0.04323082093030819,0.01935710933833881,905,18,677,0.018418582824964804,22,677,198,2250,0.39986618304750504,0.03625058657907086,1801,166.372026641294,5058,0.003050211168465509,381,15,0.01349131862975129,1454,0,3079,1,1,0.0,996,28397,14,0.004458000938526514,1573,96,0,60,5939,0.20914181075465718,1447,63,4.5442435775451955,15,0.2732285312060066,815,0.08634443923040826,0.0,0.03296574378226185,99,928,1
guerrefroide,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
conflitisraéloarabe,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
islamisme,68,0,0.012750455373406194,0.3005464480874317,111,0.011839708561020037,75,0.0,3,0,0.026411657559198543,7,0.028233151183970857,46,579,63,0.15938069216757741,0.0453537936913896,0.029143897996357013,63,0,34,0.010018214936247723,1,34,20,111,0.34525939177101966,0.040983606557377046,108,147.46666666666667,647,0.0018214936247723133,19,14,0.03460837887067395,67,0,164,0,1,0.0,48,1677,1,0.0018214936247723133,77,3,0,7,748,0.4460345855694693,95,8,5.6,0,0.25136612021857924,34,0.05191256830601093,0.0,0.05191256830601093,11,64,1
guerredecorée,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
mouvementaméricaindesdroitsciviques,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
révolutionculturelle,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
histoireduvolspatial,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
chutedesrégimescommunisteseneurope,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
histoire,207,0,0.004734848484848485,0.2727272727272727,336,0.022727272727272728,204,0.0006313131313131314,9,0,0.015151515151515152,10,0.024936868686868688,143,1975,187,0.1691919191919192,0.04011209873747382,0.023042929292929292,194,3,101,0.008207070707070708,6,101,46,336,0.38416650457109514,0.030303030303030304,343,164.61764705882354,1574,0.005366161616161616,88,15,0.02462121212121212,203,0,514,0,1,0.0,105,5141,10,0.005366161616161616,235,16,0,18,1785,0.3472087142579265,294,13,5.014705882352941,6,0.2951388888888889,99,0.08933080808080808,0.0,0.013257575757575758,22,200,1
civilisation,90,0,0.010211027910142955,0.30428863172226006,184,0.023825731790333562,93,0.0006807351940095302,2,0,0.02314499659632403,5,0.02654867256637168,66,905,85,0.18720217835262082,0.03250015505799169,0.02859087814840027,90,4,50,0.010211027910142955,1,50,20,184,0.3815345699831366,0.03403675970047652,154,165.79569892473117,873,0.002722940776038121,56,15,0.02722940776038121,127,0,261,0,1,0.0,65,2372,2,0.002722940776038121,134,6,0,16,998,0.42074198988195616,155,12,4.752688172043011,0,0.22872702518720217,54,0.08168822328114364,0.0,0.018379850238257316,14,91,1
histoiredumonde,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
histoiredelafrique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
histoiredelamérique,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
histoiredelachine,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
histoiredeleurope,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
histoiredelinde,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
histoiredujapon,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
histoiredumoyenorient,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1
